id,type,ts,cpu,mem
cpu,1,1705664959349000000,0.009747,6660096
cpu,1,1705664961742000000,0.008779,6660096
cpu,1,1705664964369000000,0.009181,6656000
cpu,1,1705664966816000000,0.008837,6660096
cpu,1,1705664969127000000,0.009714,6660096
cpu,1,1705664971390000000,0.009827,6656000
cpu,1,1705664973803000000,0.008930,6656000
cpu,1,1705664976496000000,0.008644,6660096
cpu,1,1705664978939000000,0.008364,6660096
cpu,1,1705664981192000000,0.008420,6656000
cpu,1,1705664983656000000,0.006841,6656000
cpu,1,1705664985847000000,0.008445,6660096
cpu,1,1705664988486000000,0.008117,6660096
cpu,1,1705664990937000000,0.008478,6660096
cpu,1,1705664993391000000,0.009985,6660096
cpu,1,1705664996052000000,0.008861,6660096
cpu,1,1705664998631000000,0.008501,6660096
cpu,1,1705665001065000000,0.010266,6656000
cpu,1,1705665003335000000,0.010321,6656000
cpu,1,1705665005779000000,0.008986,6656000
cpu,1,1705665008116000000,0.008626,6656000
cpu,1,1705665010438000000,0.008983,6656000
cpu,1,1705665012840000000,0.007326,6656000
cpu,1,1705665015410000000,0.010188,6656000
cpu,1,1705665018278000000,0.008840,6656000
cpu,1,1705665020516000000,0.008307,6656000
cpu,1,1705665023147000000,0.008415,6656000
cpu,1,1705665025536000000,0.007187,6656000
cpu,1,1705665027804000000,0.008362,6656000
cpu,1,1705665030127000000,0.007254,6656000
cpu,1,1705665032698000000,0.008652,6656000
cpu,1,1705665035064000000,0.009353,6656000
cpu,1,1705665037780000000,0.007302,6656000
cpu,1,1705665040278000000,0.008371,6782976
cpu,1,1705665042954000000,0.007416,6660096
cpu,1,1705665045518000000,0.008174,6656000
cpu,1,1705665048195000000,0.007986,6660096
cpu,1,1705665050454000000,0.010080,6782976
cpu,1,1705665052853000000,0.007615,6660096
cpu,1,1705665055076000000,0.007619,6656000
cpu,1,1705665057692000000,0.009011,6656000
cpu,1,1705665060365000000,0.007315,6656000
cpu,1,1705665062995000000,0.008022,6660096
cpu,1,1705665065442000000,0.009021,6660096
cpu,1,1705665068056000000,0.008599,6656000
cpu,1,1705665070439000000,0.008692,6656000
cpu,1,1705665073078000000,0.009714,6660096
cpu,1,1705665075614000000,0.008561,6660096
cpu,1,1705665078224000000,0.008656,6660096
cpu,1,1705665080442000000,0.009001,6660096
cpu,1,1705665083203000000,0.007523,6660096
cpu,1,1705665085608000000,0.009058,6660096
cpu,1,1705665088445000000,0.008284,6656000
cpu,1,1705665090850000000,0.005938,6656000
cpu,1,1705665093763000000,0.007546,6660096
cpu,1,1705665096470000000,0.007676,6660096
cpu,1,1705665098995000000,0.007931,6656000
cpu,1,1705665101615000000,0.008037,6656000
cpu,1,1705665104262000000,0.006833,6656000
cpu,1,1705665106798000000,0.006655,6656000
